plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,#stem_rot_plant,lodging,plant_type,Early Bulking,CBB_score,#CWBD_plants,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024204DMEPR_tanhoi_rep1_VF22-0147_14,VF22-0147,HL-S11,IBA980581,tanhoi,14,2,9,1,0,0.1,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,3,19.26,0
2024204DMEPR_tanhoi_rep1_VF22-0103_15,VF22-0103,HL-S11,IBA980581,tanhoi,15,2,8,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,33.8,25.2,0
2024204DMEPR_tanhoi_rep1_VH22-0479_16,VH22-0479,CR27-20,NA,tanhoi,16,2,7,1,0,0.8,1,1,1,1,0,0,1,,1,0,conical,3,dark_brown,2.8,11.18,87.5
2024204DMEPR_tanhoi_rep1_VH22-0019_17,VH22-0019,KU50,NA,tanhoi,17,2,6,1,0,0.7,1,1,1,1,0,0,1,,1,2,cylindrical,1,dark_brown,22.2,24.5,28.57
2024204DMEPR_tanhoi_rep1_VF22-0142_18,VF22-0142,HL-S11,IBA980581,tanhoi,18,2,5,1,0,0.5,1,1,1,1,0,0,2,,1,0,cylindrical,1,Yellow,22,26,20
2024204DMEPR_tanhoi_rep1_VH22-0280_19,VH22-0280,CR24-16,NA,tanhoi,19,2,4,1,0,0.4,1,1,1,1,0,0,1,,1,3,cylindrical,3,brown,3.8,20.6,50
2024204DMEPR_tanhoi_rep1_VH22-0564_20,VH22-0564,IBA980505,NA,tanhoi,20,2,3,1,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,11,13.7,25
2024204DMEPR_tanhoi_rep1_VH22-0003_21,VH22-0003,IBA920057,NA,tanhoi,21,2,2,1,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,brown,12.4,25.8,12.5
2024204DMEPR_tanhoi_rep1_VF22-0144_22,VF22-0144,HL-S11,IBA980581,tanhoi,22,2,1,1,0,1,1,1,1,1,0,0,2,,1,0,cylindrical,1,cream,23.2,27,0
2024204DMEPR_tanhoi_rep1_VH22-0369_23,VH22-0369,TMEB419,NA,tanhoi,23,3,1,1,0,1,1,1,2,2,0,0,1,,1,0,cylindrical,1,dark_brown,29.4,26,20
2024204DMEPR_tanhoi_rep1_VF22-0071_24,VF22-0071,CR27-20,HL-S11,tanhoi,24,3,2,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,15,21.3,44.44
2024204DMEPR_tanhoi_rep1_TMEB419_25,TMEB419,NA,NA,tanhoi,25,3,3,1,1,1,1,1,1,1,1,0,1,,1,0,cylindrical,1,dark_brown,25,24.5,30
2024204DMEPR_tanhoi_rep1_VF22-0213_26,VF22-0213,CR27-20,HL-S11,tanhoi,26,3,4,1,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,17.2,27,0
2024204DMEPR_tanhoi_rep1_VF22-0112_27,VF22-0112,KM419,TMEB419,tanhoi,27,3,5,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,19.2,29.8,30
2024204DMEPR_tanhoi_rep1_VH22-0262_28,VH22-0262,CR24-16,NA,tanhoi,28,3,6,1,0,0.9,1,1,1,1,0,0,1,,3,0,cylindrical,1,Yellow,1.6,17.32,77.78
2024204DMEPR_tanhoi_rep1_VH22-0282_29,VH22-0282,CR24-16,NA,tanhoi,29,3,7,1,0,0.4,1,1,1,1,0,0,3,,3,0,conical,3,dark_brown,2.2,16.83,125
2024204DMEPR_tanhoi_rep1_VF22-0167_30,VF22-0167,HL-S11,IBA980581,tanhoi,30,3,8,1,0,0.6,1,1,1,1,0,0,2,,1,0,cylindrical,3,brown,18.8,18.9,0
2024204DMEPR_tanhoi_rep1_VH22-0166_31,VH22-0166,CR24-16,NA,tanhoi,31,3,9,1,0,0.9,1,1,1,1,0,0,2,,1,0,cylindrical,1,dark_brown,19.4,25,0
2024204DMEPR_tanhoi_rep1_VH22-0197_32,VH22-0197,CR24-16,NA,tanhoi,32,3,10,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,3,dark_brown,34.4,25.7,0
2024204DMEPR_tanhoi_rep1_VH22-0511_33,VH22-0511,AR37-103,NA,tanhoi,33,3,11,1,0,0.8,1,1,1,1,0,0,2,,1,2,cylindrical,3,dark_brown,7,26.81,75
2024204DMEPR_tanhoi_rep1_VF22-0157_34,VF22-0157,HL-S11,IBA980581,tanhoi,34,4,11,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,25.6,24,22.22
2024204DMEPR_tanhoi_rep1_VF22-0161_35,VF22-0161,HL-S11,IBA980581,tanhoi,35,4,10,1,0,0.6,1,1,1,1,0,0,1,,1,0,cylindrical,2,dark_brown,19.2,27,0
2024204DMEPR_tanhoi_rep1_VH22-0063_36,VH22-0063,CR25-4,NA,tanhoi,36,4,9,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,dark_brown,19.2,25.7,0
2024204DMEPR_tanhoi_rep1_VF22-0098_37,VF22-0098,HL-S11,IBA980581,tanhoi,37,4,8,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,39.2,26.4,0
2024204DMEPR_tanhoi_rep1_VH22-0088_38,VH22-0088,IBA980581,NA,tanhoi,38,4,7,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,18.2,25.2,70
2024204DMEPR_tanhoi_rep1_VH22-0220_39,VH22-0220,CR24-16,NA,tanhoi,39,4,6,1,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,1,dark_brown,11.4,27.6,40
2024204DMEPR_tanhoi_rep1_VH22-0241_40,VH22-0241,CR24-16,NA,tanhoi,40,4,5,1,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,15.8,28,0
2024204DMEPR_tanhoi_rep1_VH22-0159_41,VH22-0159,CR24-16,NA,tanhoi,41,4,4,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,2,Yellow,32.2,28.8,0
2024204DMEPR_tanhoi_rep1_VH22-0004_42,VH22-0004,IBA920057,NA,tanhoi,42,4,3,1,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,3,dark_brown,10.8,26.3,20
2024204DMEPR_tanhoi_rep1_HLF22-0221_43,HLF22-0221,HL-S11,IBA980581,tanhoi,43,4,2,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,3,dark_brown,17.6,19.4,0
2024204DMEPR_tanhoi_rep1_CR24-16_44,CR24-16,NA,NA,tanhoi,44,4,1,1,1,1,1,1,1,1,1,0,3,,1,3,conical,2,dark_brown,13.4,22.9,10
2024204DMEPR_tanhoi_rep1_VH22-0257_45,VH22-0257,CR24-16,NA,tanhoi,45,5,1,1,0,0.9,1,1,1,1,0,0.5,2,,1,3,cylindrical,2,Yellow,18.2,21.8,66.67
2024204DMEPR_tanhoi_rep1_VH22-0272_46,VH22-0272,CR24-16,NA,tanhoi,46,5,2,1,0,0.8,1,1,1,1,0,0,2,,1,3,cylindrical,2,dark_brown,18.8,24.6,37.5
2024204DMEPR_tanhoi_rep1_VF22-0089_47,VF22-0089,CR24-16,HL-S11,tanhoi,47,5,3,1,0,0.4,1,1,1,1,0,0,2,,1,0,cylindrical,2,brown,7,26,0
2024204DMEPR_tanhoi_rep1_VF22-0019_48,VF22-0019,CR24-16,KU50,tanhoi,48,5,4,1,0,0.7,1,1,1,1,0,0,2,,1,0,cylindrical,1,dark_brown,23.8,27,14.29
2024204DMEPR_tanhoi_rep1_HLF22-0197_49,HLF22-0197,HL-S11,IBA980581,tanhoi,49,5,5,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,34.2,25.9,20
2024204DMEPR_tanhoi_rep1_VH22-0187_50,VH22-0187,CR24-16,NA,tanhoi,50,5,6,1,0,0.7,1,1,1,1,0,0,3,,1,3,conical,1,dark_brown,4.6,20.32,142.86
2024204DMEPR_tanhoi_rep1_VH22-0482_51,VH22-0482,CR27-20,NA,tanhoi,51,5,7,1,0,0.2,1,1,1,1,0,0,2,,1,0,cylindrical,1,dark_brown,4.4,18.98,500
2024204DMEPR_tanhoi_rep1_HLF22-0048_52,HLF22-0048,TMEB419,KU50,tanhoi,52,5,8,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,cream,19.4,24.3,0
2024204DMEPR_tanhoi_rep1_VF22-0013_53,VF22-0013,CR24-16,HL-S14,tanhoi,53,5,9,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,brown,32.2,23.5,0
2024204DMEPR_tanhoi_rep1_VF22-0108_54,VF22-0108,KM419,TMEB419,tanhoi,54,5,10,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,49.4,25.8,0
2024204DMEPR_tanhoi_rep1_VH22-0287_55,VH22-0287,KM419,NA,tanhoi,55,5,11,1,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,3,Yellow,21.6,24.8,30
2024204DMEPR_tanhoi_rep1_VF22-0031_56,VF22-0031,TMEB419,KU50,tanhoi,56,6,11,1,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,1,dark_brown,28.4,26.2,10
