plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,#stem_rot_plant,lodging,plant_type,Early Bulking,CBB_score,#CWBD_plants,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024204DMEPR_tanhoi_rep2_VF22-0030_86,VF22-0030,TMEB419,KU50,tanhoi,86,8,3,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,10.8,27.4,0
2024204DMEPR_tanhoi_rep2_VF22-0101_87,VF22-0101,HL-S11,IBA980581,tanhoi,87,8,2,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,20.8,28,0
2024204DMEPR_tanhoi_rep2_VH22-0552_88,VH22-0552,AR9-12,NA,tanhoi,88,8,1,2,0,0.3,1,1,1,1,0,0,1,,1,3,cylindrical,1,dark_brown,3.4,14.33,0
2024204DMEPR_tanhoi_rep2_HLH22-0069_89,HLH22-0069,KU50,NA,tanhoi,89,9,1,2,0,1,3,3,3,3,0,0,1,,1,0,cylindrical,1,cream,14.8,25.1,0
2024204DMEPR_tanhoi_rep2_VH22-0019_90,VH22-0019,KU50,NA,tanhoi,90,9,2,2,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,3,dark_brown,17.4,24,0
2024204DMEPR_tanhoi_rep2_VH22-0136_91,VH22-0136,IBA980581,NA,tanhoi,91,9,3,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,30.8,25.5,0
2024204DMEPR_tanhoi_rep2_VH22-0220_92,VH22-0220,CR24-16,NA,tanhoi,92,9,4,2,0,0.7,1,1,1,1,0,0,1,,1,2,conical,3,Yellow,10.8,28.57,0
2024204DMEPR_tanhoi_rep2_VF22-0161_93,VF22-0161,HL-S11,IBA980581,tanhoi,93,9,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0, NA ,NA
2024204DMEPR_tanhoi_rep2_VF22-0071_94,VF22-0071,CR27-20,HL-S11,tanhoi,94,9,6,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,11.8,22.5,0
2024204DMEPR_tanhoi_rep2_HLF22-0221_95,HLF22-0221,HL-S11,IBA980581,tanhoi,95,9,7,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,dark_brown,20.8,23.2,0
2024204DMEPR_tanhoi_rep2_VH22-0262_96,VH22-0262,CR24-16,NA,tanhoi,96,9,8,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,19.6,28.2,30
2024204DMEPR_tanhoi_rep2_VH22-0266_97,VH22-0266,CR24-16,NA,tanhoi,97,9,9,2,0,0.9,1,1,1,1,0,0,2,,1,0,cylindrical,1,Yellow,12.6,29.7,0
2024204DMEPR_tanhoi_rep2_VH22-0070_98,VH22-0070,CR25-4,NA,tanhoi,98,9,10,2,0,1,1,1,1,1,3,0,1,,1,2,cylindrical,3,brown,20,23,20
2024204DMEPR_tanhoi_rep2_VH22-0197_99,VH22-0197,CR24-16,NA,tanhoi,99,9,11,2,0,0.9,1,1,1,1,0,0,2,,1,0,cylindrical,3,dark_brown,26.2,25.5,0
2024204DMEPR_tanhoi_rep2_VH22-0267_100,VH22-0267,CR24-16,NA,tanhoi,100,10,11,2,0,1,1,1,1,1,0,0,1,,1,3,cylindrical,3,dark_brown,19.4,30,0
2024204DMEPR_tanhoi_rep2_VH22-0244_101,VH22-0244,CR24-16,NA,tanhoi,101,10,10,2,0,0.9,1,1,1,1,0,0,1,,1,2,cylindrical,1,brown,17,21.4,11.11
2024204DMEPR_tanhoi_rep2_VF22-0213_102,VF22-0213,CR27-20,HL-S11,tanhoi,102,10,9,2,0,0.6,1,1,1,1,0,0,1,,1,0,cylindrical,1,brown,18.6,26.9,0
2024204DMEPR_tanhoi_rep2_HLF22-0197_103,HLF22-0197,HL-S11,IBA980581,tanhoi,103,10,8,2,0,1,1,1,1,1,0,0,2,,1,0,cylindrical,1,brown,21.4,25.3,0
2024204DMEPR_tanhoi_rep2_VF22-0157_104,VF22-0157,HL-S11,IBA980581,tanhoi,104,10,7,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,13,18.8,44.44
2024204DMEPR_tanhoi_rep2_VH22-0006_105,VH22-0006,IBA920057,NA,tanhoi,105,10,6,2,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,1,Yellow,7.2,25.4,30
2024204DMEPR_tanhoi_rep2_VF22-0121_106,VF22-0121,Rayong 11,AR35-1,tanhoi,106,10,5,2,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,1,dark_brown,3.2,18.38,70
