plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,lodging,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024203DMEPR_chauthanh_rep1_VF22-0146_69,VF22-0146,HL-S11,IBA980581,chauthanh,69,7,3,1,0,0.7,1,1,1,1,1,3,conical,2,cream,3,411.63,142.86
2024203DMEPR_chauthanh_rep1_VF22-0142_70,VF22-0142,HL-S11,IBA980581,chauthanh,70,7,4,1,0,0.8,1,1,1,1,0.8,2,cylindrical,1,cream,11.2,18.5,62.50
2024203DMEPR_chauthanh_rep1_VF22-0028_71,VF22-0028,TMEB419,HL-S11,chauthanh,71,7,5,1,0,1,1,1,1,1,0.8,1,conical,3,brown,1.6,8.99,100.00
2024203DMEPR_chauthanh_rep1_VH22-0280_72,VH22-0280,CR24-16,NA,chauthanh,72,7,6,1,0,1,1,1,1,1,1,1,conical,2,brown,2,7.88,80.00
2024203DMEPR_chauthanh_rep1_VF22-0108_73,VF22-0108,KM419,TMEB419,chauthanh,73,7,7,1,0,1,1,1,1,1,0.1,1,cylindrical,1,cream,12.6,19.1,50.00
2024203DMEPR_chauthanh_rep1_VH22-0287_74,VH22-0287,KM419,NA,chauthanh,74,7,8,1,0,1,1,1,1,1,1,1,NA,NA,NA,0,,80.00
2024203DMEPR_chauthanh_rep1_IBA980581_75,IBA980581,NA,NA,chauthanh,75,7,9,1,1,1,1,1,1,1,0.4,2,conical,1,cream,7.6,14.3,40.00
2024203DMEPR_chauthanh_rep1_VH22-0003_76,VH22-0003,IBA920057,NA,chauthanh,76,7,10,1,0,0.7,1,1,1,1,0.9,1,conical,1,brown,1.6,19.39,85.71
2024203DMEPR_chauthanh_rep1_VH22-0237_77,VH22-0237,CR24-16,NA,chauthanh,77,7,11,1,0,1,1,1,1,1,1,2,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep2_VF22-0197_78,VF22-0197,HL-S11,AR35-1,chauthanh,78,8,11,2,0,0.9,1,1,1,1,1,1,conical,3,dark_brown,0, NA ,111.11
2024203DMEPR_chauthanh_rep2_VH22-0136_79,VH22-0136,IBA980581,NA,chauthanh,79,8,10,2,0,1,1,1,1,1,0.4,1,conical,1,dark_brown,5,18.79,100.00
2024203DMEPR_chauthanh_rep2_VH22-0159_80,VH22-0159,CR24-16,NA,chauthanh,80,8,9,2,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,8.6,21,90.00
2024203DMEPR_chauthanh_rep2_VF22-0108_81,VF22-0108,KM419,TMEB419,chauthanh,81,8,8,2,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,2.8,19.45,100.00
2024203DMEPR_chauthanh_rep2_VF22-0036_82,VF22-0036,TMEB419,KU50,chauthanh,82,8,7,2,0,1,1,1,1,1,0.2,1,cylindrical,1,cream,13,19.3,50.00
2024203DMEPR_chauthanh_rep2_VH22-0237_83,VH22-0237,CR24-16,NA,chauthanh,83,8,6,2,0,0.9,1,1,1,1,1,1,conical,3,cream,3.2,19.45,77.78
2024203DMEPR_chauthanh_rep2_VF22-0089_84,VF22-0089,CR24-16,HL-S11,chauthanh,84,8,5,2,0,1,1,1,1,1,0.5,4,cylindrical,1,dark_brown,5.2,16.47,80.00
2024203DMEPR_chauthanh_rep2_VF22-0127_85,VF22-0127,HL-S11,IBA980581,chauthanh,85,8,4,2,0,0.9,1,1,1,1,0.7,1,cylindrical,1,brown,7.6,17.2,44.44
2024203DMEPR_chauthanh_rep2_KM505_86,KM505,SM937-26,NA,chauthanh,86,8,3,2,1,1,1,1,1,1,0.5,1,conical,1,dark_brown,1.8,16.67,100.00
2024203DMEPR_chauthanh_rep2_VH22-0088_87,VH22-0088,IBA980581,NA,chauthanh,87,8,2,2,0,1,1,1,1,1,1,1,NA,NA,NA,0, NA ,90.00
2024203DMEPR_chauthanh_rep2_VF22-0157_88,VF22-0157,HL-S11,IBA980581,chauthanh,88,8,1,2,0,1,1,1,1,1,1,1,NA,NA,NA,1.2,10.64,80.00
2024203DMEPR_chauthanh_rep2_VH22-0272_89,VH22-0272,CR24-16,NA,chauthanh,89,9,1,2,0,1,1,1,1,1,1,1,conical,3,dark_brown,3.2,-0.1,100.00
2024203DMEPR_chauthanh_rep2_VH22-0019_90,VH22-0019,KU50,NA,chauthanh,90,9,2,2,0,1,1,1,1,1,0.1,1,cylindrical,3,dark_brown,2.6,14.87,80.00
2024203DMEPR_chauthanh_rep2_VH22-0482_91,VH22-0482,CR27-20,NA,chauthanh,91,9,3,2,0,1,1,1,1,1,0.8,1,cylindrical,3,brown,3,12.48,100.00
2024203DMEPR_chauthanh_rep2_VH22-0479_92,VH22-0479,CR27-20,NA,chauthanh,92,9,4,2,0,0.9,1,1,1,1,0.9,1,conical,3,brown,1,14.87,77.78
2024203DMEPR_chauthanh_rep2_VF22-0144_93,VF22-0144,HL-S11,IBA980581,chauthanh,93,9,5,2,0,0.5,1,1,1,1,1,2,cylindrical,2,cream,4,14.68,120.00
2024203DMEPR_chauthanh_rep2_VH22-0003_94,VH22-0003,IBA920057,NA,chauthanh,94,9,6,2,0,0.8,1,1,1,1,0.7,1,cylindrical,1,brown,6.8,18.34,50.00
2024203DMEPR_chauthanh_rep2_TMEB419_95,TMEB419,NA,NA,chauthanh,95,9,7,2,1,1,1,1,1,1,0.4,1,cylindrical,1,dark_brown,11,21,60.00
2024203DMEPR_chauthanh_rep2_VF22-0005_96,VF22-0005,CR24-16,HL-S14,chauthanh,96,9,8,2,0,1,1,1,1,1,0.5,1,conical,1,cream,5.2,18.59,40.00
2024203DMEPR_chauthanh_rep2_VH22-0552_97,VH22-0552,AR9-12,NA,chauthanh,97,9,9,2,0,0.3,1,1,1,1,1,1,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep2_VH22-0454_98,VH22-0454,AR42-4,NA,chauthanh,98,9,10,2,0,1,1,1,1,1,0.3,1,conical,1,cream,9.2,15.8,80.00
2024203DMEPR_chauthanh_rep2_VF22-0103_99,VF22-0103,HL-S11,IBA980581,chauthanh,99,9,11,2,0,1,1,1,1,1,0.4,1,conical,1,brown,12.8,14.5,50.00
2024203DMEPR_chauthanh_rep2_VF22-0024_100,VF22-0024,CR24-16,HL-S14,chauthanh,100,10,11,2,0,1,1,1,1,1,0.2,1,conical,1,cream,7.2,14,40.00
2024203DMEPR_chauthanh_rep2_VF22-0121_101,VF22-0121,Rayong 11,AR35-1,chauthanh,101,10,10,2,0,1,1,1,1,1,0.9,1,conical,1,dark_brown,1.2,16.91,100.00
2024203DMEPR_chauthanh_rep2_VF22-0028_102,VF22-0028,TMEB419,HL-S11,chauthanh,102,10,9,2,0,1,1,1,1,1,1,1,conical,3,brown,1.6,21.84,80.00
2024203DMEPR_chauthanh_rep2_VF22-0147_103,VF22-0147,HL-S11,IBA980581,chauthanh,103,10,8,2,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,14.2,22,100.00
2024203DMEPR_chauthanh_rep2_VH22-0070_104,VH22-0070,CR25-4,NA,chauthanh,104,10,7,2,0,1,1,1,1,1,0.2,1,conical,1,brown,7,15.36,90.00
2024203DMEPR_chauthanh_rep2_VH22-0511_105,VH22-0511,AR37-103,NA,chauthanh,105,10,6,2,0,1,1,1,1,1,0.1,1,conical,3,dark_brown,1.8,16.53,100.00
2024203DMEPR_chauthanh_rep2_VF22-0098_106,VF22-0098,HL-S11,IBA980581,chauthanh,106,10,5,2,0,1,1,1,1,1,0,1,cylindrical,1,cream,22,16.5,0.00
2024203DMEPR_chauthanh_rep2_VF22-0071_107,VF22-0071,CR27-20,HL-S11,chauthanh,107,10,4,2,0,0.9,1,1,1,1,0.2,1,cylindrical,1,brown,9.4,18.4,88.89
2024203DMEPR_chauthanh_rep2_VH22-0282_108,VH22-0282,CR24-16,NA,chauthanh,108,10,3,2,0,0.6,1,1,1,1,0,1,cylindrical,1,brown,15.8,20.3,100.00
2024203DMEPR_chauthanh_rep2_VF22-0031_109,VF22-0031,TMEB419,KU50,chauthanh,109,10,2,2,0,1,1,1,1,1,0.9,1,NA,NA,dark_brown,2,17.36,100.00
2024203DMEPR_chauthanh_rep2_VF22-0120_110,VF22-0120,Rayong 11,AR35-1,chauthanh,110,10,1,2,0,1,1,1,1,1,1,3,NA,NA,NA,0, NA ,70.00
2024203DMEPR_chauthanh_rep2_VH22-0346_111,VH22-0346,TMEB419,NA,chauthanh,111,11,1,2,0,1,1,1,1,1,0.9,1,cylindrical,1,cream,2.4,19.21,90.00
2024203DMEPR_chauthanh_rep2_VH22-0266_112,VH22-0266,CR24-16,NA,chauthanh,112,11,2,2,0,1,1,1,1,1,0.3,1,cylindrical,1,cream,25,24.5,90.00
2024203DMEPR_chauthanh_rep2_VF22-0112_113,VF22-0112,KM419,TMEB419,chauthanh,113,11,3,2,0,1,1,1,1,1,0,2,cylindrical,1,brown,39.8,21.2,100.00
2024203DMEPR_chauthanh_rep2_VH22-0120_114,VH22-0120,IBA980581,NA,chauthanh,114,11,4,2,0,0.9,1,1,1,1,0,1,cylindrical,1,cream,7.2,10,100.00
2024203DMEPR_chauthanh_rep2_VH22-0267_115,VH22-0267,CR24-16,NA,chauthanh,115,11,5,2,0,0.9,1,1,1,1,0,1,conical,1,dark_brown,11.4,24,77.78
2024203DMEPR_chauthanh_rep2_VF22-0213_116,VF22-0213,CR27-20,HL-S11,chauthanh,116,11,6,2,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,17.4,23.5,80.00
2024203DMEPR_chauthanh_rep2_VH22-0063_117,VH22-0063,CR25-4,NA,chauthanh,117,11,7,2,0,1,1,1,1,1,0,1,cylindrical,1,brown,26,18,80.00
2024203DMEPR_chauthanh_rep2_VF22-0161_118,VF22-0161,HL-S11,IBA980581,chauthanh,118,11,8,2,0,0.5,1,1,1,1,0,1,cylindrical,1,cream,10,21.4,0.00
2024203DMEPR_chauthanh_rep2_VF22-0142_119,VF22-0142,HL-S11,IBA980581,chauthanh,119,11,9,2,0,0.8,1,1,1,1,0,1,cylindrical,1,cream,21,21.5,0.00
2024203DMEPR_chauthanh_rep2_KU50_120,KU50,NA,NA,chauthanh,120,11,10,2,1,1,1,2,3,2,0.1,1,cylindrical,1,cream,44.2,22,0.00
2024203DMEPR_chauthanh_rep2_VH22-0564_121,VH22-0564,IBA980505,NA,chauthanh,121,11,11,2,0,1,1,1,1,1,0.1,1,cylindrical,1,cream,9.2,13,0.00
2024203DMEPR_chauthanh_rep2_VH22-0006_122,VH22-0006,IBA920057,NA,chauthanh,122,12,11,2,0,1,1,1,1,1,0.5,1,cylindrical,1,brown,11.8,19.5,0.00
2024203DMEPR_chauthanh_rep2_VH22-0202_123,VH22-0202,CR24-16,NA,chauthanh,123,12,10,2,0,0.7,1,1,1,1,1,1,conical,3,dark_brown,3.8,14.34,0.00
2024203DMEPR_chauthanh_rep2_VH22-0287_124,VH22-0287,KM419,NA,chauthanh,124,12,9,2,0,1,1,1,1,1,0.8,1,conical,2,cream,3.2,17.32,0.00
2024203DMEPR_chauthanh_rep2_VH22-0187_125,VH22-0187,CR24-16,NA,chauthanh,125,12,8,2,0,0.5,1,1,1,1,0.5,1,conical,3,dark_brown,4.4,14.66,0.00
2024203DMEPR_chauthanh_rep2_VF22-0097_126,VF22-0097,HL-S11,IBA980581,chauthanh,126,12,7,2,0,1,1,1,1,1,0.2,1,conical,1,dark_brown,23.6,25.4,100.00
2024203DMEPR_chauthanh_rep2_VH22-0004_127,VH22-0004,IBA920057,NA,chauthanh,127,12,6,2,0,1,1,1,1,1,0,1,conical,1,dark_brown,8,19.31,100.00
2024203DMEPR_chauthanh_rep2_VH22-0079_128,VH22-0079,Rayong11,NA,chauthanh,128,12,5,2,0,1,1,1,1,1,0.8,1,cylindrical,1,cream,5.6,13.56,70.00
2024203DMEPR_chauthanh_rep2_VF22-0030_129,VF22-0030,TMEB419,KU50,chauthanh,129,12,4,2,0,1,1,1,1,1,0.8,1,cylindrical,1,cream,2.8,25.24,80.00
2024203DMEPR_chauthanh_rep2_VH22-0336_130,VH22-0336,TMEB419,NA,chauthanh,130,12,3,2,0,1,1,1,1,1,0,1,cylindrical,1,cream,7,14.07,100.00
2024203DMEPR_chauthanh_rep2_VH22-0257_131,VH22-0257,CR24-16,NA,chauthanh,131,12,2,2,0,1,1,1,1,1,0.9,1,conical,3,dark_brown,5.6,20.69,100.00
2024203DMEPR_chauthanh_rep2_VH22-0369_132,VH22-0369,TMEB419,NA,chauthanh,132,12,1,2,0,1,1,1,2,2,0.5,1,cylindrical,2,brown,7,23.57,90.00
2024203DMEPR_chauthanh_rep2_VF22-0146_133,VF22-0146,HL-S11,IBA980581,chauthanh,133,13,1,2,0,0.9,1,1,1,1,1,1,NA,NA,NA,2.4,17.04,88.89
2024203DMEPR_chauthanh_rep2_CR24-16_134,CR24-16,NA,NA,chauthanh,134,13,2,2,1,0.9,1,1,1,1,0.7,1,conical,1,dark_brown,7.6,20.79,66.67
2024203DMEPR_chauthanh_rep2_VH22-0010_135,VH22-0010,IBA920057,NA,chauthanh,135,13,3,2,0,1,1,1,1,1,0.2,1,cylindrical,1,brown,16.2,22.4,60.00
2024203DMEPR_chauthanh_rep2_VF22-0167_136,VF22-0167,HL-S11,IBA980581,chauthanh,136,13,4,2,0,1,1,1,1,1,0.2,1,cylindrical,1,cream,15.2,20.5,80.00
2024203DMEPR_chauthanh_rep2_VF22-0140_137,VF22-0140,HL-S11,IBA980581,chauthanh,137,13,5,2,0,1,1,1,1,1,0.4,1,cylindrical,1,dark_brown,8,16.67,90.00
2024203DMEPR_chauthanh_rep2_VH22-0197_138,VH22-0197,CR24-16,NA,chauthanh,138,13,6,2,0,1,1,1,1,1,1,1,conical,3,dark_brown,3,17.18,30.00
2024203DMEPR_chauthanh_rep2_VH22-0277_139,VH22-0277,CR24-16,NA,chauthanh,139,13,7,2,0,1,1,1,2,2,0.5,1,cylindrical,1,dark_brown,18,20.4,70.00
