plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024206DMEPR_dona_rep2_Filler7_101,Filler7,NA,NA,dona,101,7,5,2,0,1,1,,1,1,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep2_Filler5_102,Filler5,NA,NA,dona,102,7,6,2,0,1,1,,1,1,cylindrical,1,brown,32,24.2,20.00
2024206DMEPR_dona_rep2_Filler6_103,Filler6,NA,NA,dona,103,7,7,2,0,0.4,1,,1,1,cylindrical,1,cream,1.4,20.02,0.00
2024206DMEPR_dona_rep2_KU50_104,KU50,NA,NA,dona,104,7,8,2,1,1,1,,1,1,cylindrical,1,cream,28,18.5,50.00
2024206DMEPR_dona_rep2_VF22-0005_105,VF22-0005,CR24-16,HL-S14,dona,105,7,9,2,0,0.9,1,,1,1,conical,2,cream,13.6,17.2,33.33
2024206DMEPR_dona_rep2_VH22-0511_106,VH22-0511,AR37-103,NA,dona,106,7,10,2,0,0.1,1,,1,1,NA,NA,NA,0.4,26.9,0.00
2024206DMEPR_dona_rep2_VF22-0108_107,VF22-0108,KM419,TMEB419,dona,107,7,11,2,0,1,1,,1,1,cylindrical,2,brown,15.8,25.2,0.00
2024206DMEPR_dona_rep2_VH22-0120_108,VH22-0120,IBA980581,NA,dona,108,7,12,2,0,0.6,1,,1,1,cylindrical,1,cream,12.4,10,16.67
2024206DMEPR_dona_rep2_VF22-0197_109,VF22-0197,HL-S11,AR35-1,dona,109,7,13,2,0,0.9,1,,1,1,conical,3,cream,8,17.97,0.00
2024206DMEPR_dona_rep2_Filler11_110,Filler11,NA,NA,dona,110,7,14,2,0,1,1,,1,1,cylindrical,1,cream,10.2,20,20.00
2024206DMEPR_dona_rep2_VH22-0010_111,VH22-0010,IBA920057,NA,dona,111,7,15,2,0,1,1,,1,1,cylindrical,1,cream,58.4,28.2,0.00
2024206DMEPR_dona_rep2_VH22-0220_112,VH22-0220,CR24-16,NA,dona,112,7,16,2,0,0.9,1,,1,1,cylindrical,3,brown,13.4,11.63,22.22
2024206DMEPR_dona_rep2_VF22-0019_113,VF22-0019,CR24-16,KU50,dona,113,8,16,2,0,1,1,,1,1,cylindrical,1,cream,2.8,19.87,0.00
2024206DMEPR_dona_rep2_VH22-0187_114,VH22-0187,CR24-16,NA,dona,114,8,15,2,0,0.6,1,,1,1,conical,1,dark_brown,4.4,21.97,0.00
2024206DMEPR_dona_rep2_VH22-0079_115,VH22-0079,Rayong11,NA,dona,115,8,14,2,0,1,1,,1,1,cylindrical,1,cream,42.8,22.9,0.00
2024206DMEPR_dona_rep2_Filler9_116,Filler9,NA,NA,dona,116,8,13,2,0,0.5,1,,1,1,cylindrical,1,cream,3.4,6.01,20.00
2024206DMEPR_dona_rep2_VH22-0280_117,VH22-0280,CR24-16,NA,dona,117,8,12,2,0,1,1,,1,1,conical,1,cream,6.2,13.7,40.00
2024206DMEPR_dona_rep2_VH22-0454_118,VH22-0454,AR42-4,NA,dona,118,8,11,2,0,1,1,,1,1,cylindrical,3,cream,25.8,20.4,20.00
2024206DMEPR_dona_rep2_Filler4_119,Filler4,NA,NA,dona,119,8,10,2,0,1,1,,1,1,cylindrical,1,brown,41.2,24.2,0.00
2024206DMEPR_dona_rep2_VH22-0004_120,VH22-0004,IBA920057,NA,dona,120,8,9,2,0,1,1,,1,1,cylindrical,1,dark_brown,17,22.2,40.00
2024206DMEPR_dona_rep2_VF22-0130_121,VF22-0130,HL-S11,IBA980581,dona,121,8,8,2,0,1,1,,1,1,cylindrical,1,cream,29.6,19.5,10.00
2024206DMEPR_dona_rep2_VF22-0097_122,VF22-0097,HL-S11,IBA980581,dona,122,8,7,2,0,0.9,1,,1,1,cylindrical,1,brown,15.2,26,0.00
2024206DMEPR_dona_rep2_Filler3_123,Filler3,NA,NA,dona,123,8,6,2,0,1,1,,1,1,cylindrical,1,dark_brown,43.6,25.9,0.00
2024206DMEPR_dona_rep2_CR24-16_124,CR24-16,NA,NA,dona,124,8,5,2,1,0.7,1,,1,1,NA,NA,NA,NA,17.73,0.00
2024206DMEPR_dona_rep2_VH22-0266_125,VH22-0266,CR24-16,NA,dona,125,8,4,2,0,1,1,,1,1,cylindrical,1,cream,40,27.6,40.00
2024206DMEPR_dona_rep2_VH22-0479_126,VH22-0479,CR27-20,NA,dona,126,8,3,2,0,0.8,1,,1,1,conical,3,dark_brown,7,10,25.00
2024206DMEPR_dona_rep2_VH22-0282_127,VH22-0282,CR24-16,NA,dona,127,8,2,2,0,0.8,1,,1,1,conical,3,dark_brown,4,20.58,0.00
2024206DMEPR_dona_rep2_VS22-0002_128,VS22-0002,CR24-16,CR24-16,dona,128,8,1,2,0,1,1,,1,1,cylindrical,1,brown,18.4,21.8,20.00
2024206DMEPR_dona_rep2_VF22-0013_129,VF22-0013,CR24-16,HL-S14,dona,129,9,1,2,0,1,1,,1,1,cylindrical,1,cream,16.2,20.2,0.00
2024206DMEPR_dona_rep2_VF22-0147_130,VF22-0147,HL-S11,IBA980581,dona,130,9,2,2,0,0.5,1,,1,1,NA,NA,NA,NA,NA,NA
2024206DMEPR_dona_rep2_VF22-0098_131,VF22-0098,HL-S11,IBA980581,dona,131,9,3,2,0,1,1,,1,1,cylindrical,3,cream,53.2,19,0.00
2024206DMEPR_dona_rep2_VH22-0166_132,VH22-0166,CR24-16,NA,dona,132,9,4,2,0,0.9,1,,1,1,cylindrical,1,dark_brown,5,20.81,11.11
2024206DMEPR_dona_rep2_Filler8_133,Filler8,NA,NA,dona,133,9,5,2,0,0.8,1,,1,1,cylindrical,1,brown,5,10.5,50.00
2024206DMEPR_dona_rep2_VH22-0262_134,VH22-0262,CR24-16,NA,dona,134,9,6,2,0,0.7,1,,1,1,cylindrical,3,cream,12,23,0.00
2024206DMEPR_dona_rep2_VH22-0277_135,VH22-0277,CR24-16,NA,dona,135,9,7,2,0,1,1,,1,1,NA,NA,NA,NA,22.8,0.00
