plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,Column1,1M_Vigor,3M_Vigor,1M_CMD,3M_CMD,6M_CMD,CMD_harvest,Root Shape,percentage_root_rot,Plant Type,Logging %,Stem Count,root_type,Root_skin_color,plot_weight,starch_content
2024207DMEAR_dona_rep2_TMEB419_31,TMEB419,NA,NA,dona,31,8,2,2,1,0.68,4,2,1,1,1,1,Cylindrical ,41.18,1,0,20,,Brown ,31.1,25
2024207DMEAR_dona_rep2_HLF21-0022_32,HLF21-0022,SM937-26,AR100-13,dona,32,8,1,2,0,0.84,4,5,1,1,1,1,Cylindrical ,0.00,1,12,38,,Brown ,67.3,25
2024207DMEAR_dona_rep2_HLH21-0066_33,HLH21-0066,KU50,NA,dona,33,9,1,2,0,0.96,4,4,1,1,1,1,Cylindrical ,41.67,2,32,25,,Brown ,20.3,22.5
2024207DMEAR_dona_rep2_HLH21-0046_34,HLH21-0046,KU50,NA,dona,34,9,2,2,0,1.00,3,2,1,1,1,1,Cylindrical ,0.00,2,0,38,,Cream,32.9,26.4
2024207DMEAR_dona_rep2_HLF21-0019_35,HLF21-0019,AR9-18,KM140,dona,35,9,3,2,0,0.96,3,4,1,1,1,1,Cylindrical ,29.17,2,80,25,,Cream,29.7,15
2024207DMEAR_dona_rep2_VH21- 1516_36,VH21-1516,IBA980505,NA,dona,36,9,4,2,0,1.00,3,3,1,1,1,1,Cylindrical ,0.00,1,0,30,,Cream,64.4,17.5
2024207DMEAR_dona_rep2_HLF21-0506_37,HLF21-0506,NA,NA,dona,37,10,4,2,0,0.96,4,4,1,1,1,1,Cylindrical ,0.00,2,10,80,,Cream,59.2,21.7
2024207DMEAR_dona_rep2_HLH21-0035_38,HLH21-0035,AR9-18,NA,dona,38,10,3,2,0,0.56,2,3,1,1,1,1,Cylindrical ,0.00,2,0,40,,Cream,34.2,19.8
2024207DMEAR_dona_rep2_IBA980581_39,IBA980581,NA,NA,dona,39,10,2,2,1,0.96,3,3,1,1,1,1,Conical ,0.00,2,0,50,,Cream,36.9,15.9
2024207DMEAR_dona_rep2_VH21-1505_40,VH21-1505,IBA972205,NA,dona,40,10,1,2,0,0.88,3,4,1,1,1,1,Cylindrical ,0.00,1,0,35,,Brown ,38.5,12.9
