plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024205DMEAR_dona_rep3_VH21-1140_52,VH21-1140,CR24-12,NA,dona,52,8,5,3,0,0.96,1,1,1,1,2,cylindrical,1,cream,44.2,25.2,12.50
2024205DMEAR_dona_rep3_IBA980581_53,IBA980581,NA,NA,dona,53,8,4,3,1,0.8,1,1,1,1,1,cylindrical,1,cream,46.4,18,10.00
2024205DMEAR_dona_rep3_KU50_54,KU50,NA,NA,dona,54,8,3,3,1,1,1,1,1,1,1,cylindrical,1,cream,40.4,24.8,16.00
2024205DMEAR_dona_rep3_VH21-0779_55,VH21-0779,KU50,NA,dona,55,8,2,3,0,0.96,1,1,1,1,1,cylindrical,1,cream,43.6,23,25.00
2024205DMEAR_dona_rep3_VF21-0184_56,VF21-0184,KM140,AR9-18,dona,56,8,1,3,0,1,1,1,1,1,2,cylindrical,1,cream,32,17.3,16.00
2024205DMEAR_dona_rep3_VH21-0203_57,VH21-0203,IBA980505,NA,dona,57,9,1,3,0,1,1,1,1,1,1,cylindrical,1,brown,95.2,18,0.00
2024205DMEAR_dona_rep3_VH21-0061_58,VH21-0061,IBA972205,NA,dona,58,9,2,3,0,0.96,1,1,1,1,1,cylindrical,1,brown,35.8,26.8,8.33
2024205DMEAR_dona_rep3_VH21-1087_59,VH21-1087,TMEB419,NA,dona,59,9,3,3,0,1,1,1,1,1,1,cylindrical,1,brown,82.6,29.5,0.00
2024205DMEAR_dona_rep3_VH21-0016_60,VH21-0016,IBA920057,NA,dona,60,9,4,3,0,0.92,1,1,1,1,1,cylindrical,1,cream,75.6,22.5,0.00
2024205DMEAR_dona_rep3_VH21-0402_61,VH21-0402,KM140,NA,dona,61,9,5,3,0,1,1,1,1,1,1,cylindrical,1,cream,135,24.5,8.00
2024205DMEAR_dona_rep3_TMEB419_62,TMEB419,NA,NA,dona,62,9,6,3,1,1,1,1,1,1,1,cylindrical,1,brown,115.8,26.2,4.00
2024205DMEAR_dona_rep3_VF21-0055_63,VF21-0055,HL-S14,AR9-18,dona,63,9,7,3,0,1,1,1,1,1,1,cylindrical,1,cream,107.2,21,0.00
